"Plant.ID","Plant.Info","Plant.Name","X..spikelets","X..Seeds.per.spike","Seeds.spikes"
"L5_C_1","Control","L5",22,13.8,0.666118326118326
"L5_C_4","Control","L5",26.8,20.8,0.775044306906376
"L5_C_5","Control","L5",27.5,20.2,0.863705738705739
"L5_C_9","Control","L5",24.6,20,0.815764422373118
"L5_D_3","Drought","L5",24.6,20,0.812301675336158
"L5_D_4","Drought","L5",21.5,19.8,0.905807891508791
"L5_D_7","Drought","L5",26.4,21,0.826201058201058
"L5_D_8","Drought","L5",26.25,18,0.743213675213675
"L4_C_3","Control","L4",20.4,11,0.575428625556503
"L4_C_4","Control","L4",23,14.6,0.618087709392057
"L4_C_5","Control","L4",23.25,16.4,0.769870600414079
"L4_C_6","Control","L4",25.8,17.8,0.688741979437632
"L4_D_1","Drought","L4",20.8,12.5,0.689810789049919
"L4_D_2","Drought","L4",18.75,15.8,0.832400571564658
"L4_D_6","Drought","L4",20,13,0.674400891506155
"L4_D_9","Drought","L4",19.75,15.8,0.754374397532292
"L7_C_11","Control","L7",17.4,13,0.765336743393009
"L7_C_13","Control","L7",18.6,15,0.812878787878788
"L7_C_19","Control","L7",20.25,16.2,0.858611976259035
"L7_C_9","Control","L7",21.8,19,0.862907020515716
"L7_D_12","Drought","L7",18,15,0.835416666666667
"L7_D_16","Drought","L7",16.5,14.5,0.857666366141598
"L7_D_2","Drought","L7",20.5,15.75,0.781179496831671
"L7_D_9","Drought","L7",18.25,13.5,0.763869657174611
"L8_C_10","Control","L8",29.2,20.4,0.707857618785038
"L8_C_17","Control","L8",28.8,20.2,0.70064039408867
"L8_C_19","Control","L8",30.25,18,0.633019323671498
"L8_C_5","Control","L8",28,18.4,0.687844966405686
"L8_D_11","Drought","L8",23,15,0.770722458319712
"L8_D_12","Drought","L8",23.2,17.8,0.766985068072025
"L8_D_18","Drought","L8",19,13,0.723730895867119
"L8_D_5","Drought","L8",23.25,18,0.739367588932806
"L9_C_10","Control","L9",27.4,18.6,0.680835164835165
"L9_C_12","Control","L9",26.6,18.4,0.691179487179487
"L9_C_7","Control","L9",26,15.8,0.636349737219302
"L9_C_8","Control","L9",28.2,20.8,0.734546615581098
"L9_D_10","Drought","L9",22.75,18,0.82421066252588
"L9_D_5","Drought","L9",20.8,16.2,0.78086203651421
"L9_D_8","Drought","L9",23,17.25,0.733695652173913
"L9_D_9","Drought","L9",24,20,0.833188405797102
"L1_C_1","Control","L1",30,24.4,0.871079689683694
"L1_C_18","Control","L1",29.4,23.4,0.797237671486837
"L1_C_5","Control","L1",28,19,0.670496245093019
"L1_C_7","Control","L1",29.6,20.6,0.740411478288634
"L1_D_12","Drought","L1",26,18,0.738644688644689
"L1_D_13","Drought","L1",22,15.2,0.700249726592438
"L1_D_15","Drought","L1",25,16.2,0.701535353535354
"L1_D_16","Drought","L1",23.4,18,0.701844077961019
